,r,p-value
roast-beef_level,-0.5642734764571716,2.9524725575554768e-05
lasagna_level,-0.46481112585226414,0.0008734593492228729
sausage_level,-0.38961253098164633,0.00619552484610987
tuna_level,-0.37495368676771534,0.008643457740303995
wing_level,-0.3645595108253825,0.010849680350617872
thanksgiving_level,-0.3507452932058879,0.014518063325805766
chicken-breast_level,-0.3293662746201299,0.022256498499993664
chicken-breasts_level,-0.3293662746201299,0.022256498499993664
biscuit_level,-0.3156119753309941,0.028876110746130865
hard-boiled_level,-0.3109155484385906,0.0314817741260343
